date,month,percentage change,industry
Nov-08,11,-3.4139402,"Trade, Transportation and Utilities"
Nov-08,11,-3.0753968,Information
Nov-08,11,-2.1854625,Financial Activities
Nov-08,11,-3.9056008,Professional and Business
Nov-08,11,2.4866126,Education and Health
Nov-08,11,-1.8450185,Leisure and Hospitality
Nov-08,11,-0.72516316,Other Services
Nov-08,11,0.82230961,Government
Dec-08,12,-2.5854716,Nonfarming
Dec-08,12,4.189189,Mining and Logging
Dec-08,12,-10.534045,Construction
Dec-08,12,-6.51826,Manufacturing
Dec-08,12,-4.0765142,"Trade, Transportation and Utilities"
Dec-08,12,-3.8029101,Information
Dec-08,12,-2.5597682,Financial Activities
Dec-08,12,-4.6036229,Professional and Business
Dec-08,12,2.6933885,Education and Health
Dec-08,12,-2.1697416,Leisure and Hospitality
Dec-08,12,-1.2690356,Other Services
Dec-08,12,0.80443335,Government
Jan-09,13,-3.1608241,Nonfarming
Jan-09,13,2.8378379,Mining and Logging
Jan-09,13,-12.323097,Construction
Jan-09,13,-8.6206894,Manufacturing
Jan-09,13,-4.6193008,"Trade, Transportation and Utilities"
Jan-09,13,-4.3981481,Information
Jan-09,13,-3.1876359,Financial Activities
Jan-09,13,-5.4623013,Professional and Business
Jan-09,13,2.8842585,Education and Health
Jan-09,13,-2.4206643,Leisure and Hospitality
Jan-09,13,-1.595359,Other Services
Jan-09,13,0.90722203,Government
Feb-09,14,-3.6689556,Nonfarming
Feb-09,14,1.2162162,Mining and Logging
Feb-09,14,-13.938584,Construction
Feb-09,14,-9.9374361,Manufacturing
Feb-09,14,-5.1321406,"Trade, Transportation and Utilities"
Feb-09,14,-4.8280425,Information
Feb-09,14,-3.767206,Financial Activities
Feb-09,14,-6.3874578,Professional and Business
Feb-09,14,3.0168071,Education and Health
Feb-09,14,-2.6346862,Leisure and Hospitality
Feb-09,14,-1.9035532,Other Services
Feb-09,14,0.8938148,Government
Mar-09,15,-4.2645464,Nonfarming
Mar-09,15,-1.6216216,Mining and Logging
Mar-09,15,-16.008011,Construction
Mar-09,15,-11.188709,Manufacturing
Mar-09,15,-5.7872276,"Trade, Transportation and Utilities"
Mar-09,15,-5.2910051,Information
Mar-09,15,-4.2864041,Financial Activities
Mar-09,15,-7.1630383,Professional and Business
Mar-09,15,3.0486188,Education and Health
Mar-09,15,-3.1217713,Leisure and Hospitality
Mar-09,15,-2.4111676,Other Services
Mar-09,15,0.82230961,Government
Apr-09,16,-4.7589445,Nonfarming
Apr-09,16,-4.0540543,Mining and Logging
Apr-09,16,-17.837116,Construction
Apr-09,16,-12.483631,Manufacturing
Apr-09,16,-6.3899078,"Trade, Transportation and Utilities"
Apr-09,16,-6.3161378,Information
Apr-09,16,-4.9746437,Financial Activities
Apr-09,16,-7.9829373,Professional and Business
Apr-09,16,3.1069403,Education and Health
Apr-09,16,-3.6457565,Leisure and Hospitality
Apr-09,16,-2.6105874,Other Services
Apr-09,16,1.3451912,Government
May-09,17,-5.0155401,Nonfarming
May-09,17,-6.3513513,Mining and Logging
May-09,17,-18.558077,Construction
May-09,17,-13.705806,Manufacturing
May-09,17,-6.5433855,"Trade, Transportation and Utilities"
May-09,17,-7.1428571,Information
May-09,17,-5.2885776,Financial Activities
May-09,17,-8.3541079,Professional and Business
May-09,17,3.4038491,Education and Health
May-09,17,-3.2767527,Leisure and Hospitality
May-09,17,-2.6649747,Other Services
May-09,17,1.0770469,Government
Jun-09,18,-5.3530898,Nonfarming
Jun-09,18,-7.2972975,Mining and Logging
Jun-09,18,-19.75968,Construction
Jun-09,18,-14.695184,Manufacturing
Jun-09,18,-6.7605,"Trade, Transportation and Utilities"
Jun-09,18,-7.5396824,Information
Jun-09,18,-5.5662885,Financial Activities
Jun-09,18,-8.9468727,Professional and Business
Jun-09,18,3.5841153,Education and Health
Jun-09,18,-3.4981549,Leisure and Hospitality
Jun-09,18,-2.6105874,Other Services
Jun-09,18,0.8938148,Government
Jul-09,19,-5.5880013,Nonfarming
Jul-09,19,-8.3783779,Mining and Logging
Jul-09,19,-20.801067,Construction
Jul-09,19,-15.117125,Manufacturing
Jul-09,19,-7.1011453,"Trade, Transportation and Utilities"
Jul-09,19,-8.0687828,Information
Jul-09,19,-5.7353296,Financial Activities
Jul-09,19,-9.0742893,Professional and Business
Jul-09,19,3.6901543,Education and Health
Jul-09,19,-3.4833949,Leisure and Hospitality
Jul-09,19,-2.6831038,Other Services
Jul-09,19,0.64801574,Government
Aug-09,20,-5.7448502,Nonfarming
Aug-09,20,-9.4594593,Mining and Logging
Aug-09,20,-21.829105,Construction
Aug-09,20,-15.422668,Manufacturing
Aug-09,20,-7.2733397,"Trade, Transportation and Utilities"
Aug-09,20,-8.4986773,Information
Aug-09,20,-6.037189,Financial Activities
Aug-09,20,-9.2238655,Professional and Business
Aug-09,20,3.9340439,Education and Health
Aug-09,20,-3.7195573,Leisure and Hospitality
Aug-09,20,-2.8462653,Other Services
Aug-09,20,0.71952093,Government
Sep-09,21,-5.9089265,Nonfarming
Sep-09,21,-10.135135,Mining and Logging
Sep-09,21,-22.736982,Construction
Sep-09,21,-15.677288,Manufacturing
Sep-09,21,-7.475481,"Trade, Transportation and Utilities"
Sep-09,21,-8.4325399,Information
Sep-09,21,-6.1941562,Financial Activities
Sep-09,21,-9.0853691,Professional and Business
Sep-09,21,3.9605534,Education and Health
Sep-09,21,-3.6605165,Leisure and Hospitality
Sep-09,21,-2.95504,Other Services
Sep-09,21,0.33518055,Government
Oct-09,22,-6.0542102,Nonfarming
Oct-09,22,-10.675675,Mining and Logging
Oct-09,22,-23.684914,Construction
Oct-09,22,-16.062855,Manufacturing
Oct-09,22,-7.84233,"Trade, Transportation and Utilities"
Oct-09,22,-8.6640215,Information
Oct-09,22,-6.3752718,Financial Activities
Oct-09,22,-9.0521297,Professional and Business
Oct-09,22,4.2097449,Education and Health
Oct-09,22,-4.0959411,Leisure and Hospitality
Oct-09,22,-3.3176215,Other Services
Oct-09,22,0.66142297,Government
Nov-09,23,-6.058547,Nonfarming
Nov-09,23,-10.27027,Mining and Logging
Nov-09,23,-23.951937,Construction
Nov-09,23,-16.273825,Manufacturing
Nov-09,23,-7.958374,"Trade, Transportation and Utilities"
Nov-09,23,-8.994709,Information
Nov-09,23,-6.3511229,Financial Activities
Nov-09,23,-8.7252789,Professional and Business
Nov-09,23,4.3635015,Education and Health
Nov-09,23,-4.1623616,Leisure and Hospitality
Nov-09,23,-3.4807832,Other Services
Nov-09,23,0.7016446,Government
Dec-09,24,-6.2631006,Nonfarming
Dec-09,24,-10.405405,Mining and Logging
Dec-09,24,-24.512684,Construction
Dec-09,24,-16.52117,Manufacturing
Dec-09,24,-8.3888597,"Trade, Transportation and Utilities"
Dec-09,24,-9.2592592,Information
Dec-09,24,-6.50809,Financial Activities
Dec-09,24,-8.7308178,Professional and Business
Dec-09,24,4.5119557,Education and Health
Dec-09,24,-4.4723248,Leisure and Hospitality
Dec-09,24,-3.5532994,Other Services
Dec-09,24,0.47372183,Government
Jan-10,25,-6.2399712,Nonfarming
Jan-10,25,-9.8648653,Mining and Logging
Jan-10,25,-25.500668,Construction
Jan-10,25,-16.630293,Manufacturing
Jan-10,25,-8.1455412,"Trade, Transportation and Utilities"
Jan-10,25,-9.4576721,Information
Jan-10,25,-6.6288338,Financial Activities
Jan-10,25,-8.4815245,Professional and Business
Jan-10,25,4.6339006,Education and Health
Jan-10,25,-4.5608854,Leisure and Hospitality
Jan-10,25,-3.4989123,Other Services
Jan-10,25,0.51394349,Government
Feb-10,26,-6.2891216,Nonfarming
Feb-10,26,-8.9189186,Mining and Logging
Feb-10,26,-26.568758,Construction
Feb-10,26,-16.681217,Manufacturing
Feb-10,26,-8.1492853,"Trade, Transportation and Utilities"
Feb-10,26,-9.4576721,Information
Feb-10,26,-6.7375031,Financial Activities
Feb-10,26,-8.3264084,Professional and Business
Feb-10,26,4.7452416,Education and Health
Feb-10,26,-4.5977859,Leisure and Hospitality
Feb-10,26,-3.6258159,Other Services
Feb-10,26,0.4469074,Government
Mar-10,27,-6.1727505,Nonfarming
Mar-10,27,-7.8378377,Mining and Logging
Mar-10,27,-26.074766,Construction
Mar-10,27,-16.681217,Manufacturing
Mar-10,27,-8.0145245,"Trade, Transportation and Utilities"
Mar-10,27,-10.085979,Information
Mar-10,27,-6.9306931,Financial Activities
Mar-10,27,-8.3762674,Professional and Business
Mar-10,27,5.0262446,Education and Health
Mar-10,27,-4.4797049,Leisure and Hospitality
Mar-10,27,-3.3901377,Other Services
Mar-10,27,0.63460851,Government
Apr-10,28,-5.9942174,Nonfarming
Apr-10,28,-7.1621623,Mining and Logging
Apr-10,28,-25.861149,Construction
Apr-10,28,-16.419321,Manufacturing
Apr-10,28,-7.992064,"Trade, Transportation and Utilities"
Apr-10,28,-10.218254,Information
Apr-10,28,-6.8703213,Financial Activities
Apr-10,28,-7.9386182,Professional and Business
Apr-10,28,5.0845661,Education and Health
Apr-10,28,-4.2140222,Leisure and Hospitality
Apr-10,28,-3.2813632,Other Services
Apr-10,28,0.8625313,Government
May-10,29,-5.6198049,Nonfarming
May-10,29,-5.810811,Mining and Logging
May-10,29,-26.301735,Construction
May-10,29,-16.157427,Manufacturing
May-10,29,-7.9246836,"Trade, Transportation and Utilities"
May-10,29,-10.416667,Information
May-10,29,-7.0393624,Financial Activities
May-10,29,-7.8056617,Professional and Business
May-10,29,5.2330203,Education and Health
May-10,29,-3.9704797,Leisure and Hospitality
May-10,29,-3.3720088,Other Services
May-10,29,2.7708259,Government
Jun-10,30,-5.7137694,Nonfarming
Jun-10,30,-5.1351352,Mining and Logging
Jun-10,30,-26.355141,Construction
Jun-10,30,-16.01193,Manufacturing
Jun-10,30,-7.8273563,"Trade, Transportation and Utilities"
Jun-10,30,-10.615079,Information
Jun-10,30,-7.1601062,Financial Activities
Jun-10,30,-7.4566507,Professional and Business
Jun-10,30,5.3655691,Education and Health
Jun-10,30,-3.8081181,Leisure and Hospitality
Jun-10,30,-3.643945,Other Services
Jun-10,30,1.626743,Government
Jul-10,31,-5.7600288,Nonfarming
Jul-10,31,-4.3243241,Mining and Logging
Jul-10,31,-26.461948,Construction
Jul-10,31,-15.895534,Manufacturing
Jul-10,31,-7.6888523,"Trade, Transportation and Utilities"
Jul-10,31,-10.58201,Information
Jul-10,31,-7.3170733,Financial Activities
Jul-10,31,-7.3790927,Professional and Business
Jul-10,31,5.5193257,Education and Health
Jul-10,31,-3.704797,Leisure and Hospitality
Jul-10,31,-3.444525,Other Services
Jul-10,31,0.8625313,Government
Aug-10,32,-5.7882185,Nonfarming
Aug-10,32,-3.2432432,Mining and Logging
Aug-10,32,-26.248331,Construction
Aug-10,32,-15.953732,Manufacturing
Aug-10,32,-7.7262859,"Trade, Transportation and Utilities"
Aug-10,32,-10.648149,Information
Aug-10,32,-7.3170733,Financial Activities
Aug-10,32,-7.1353388,Professional and Business
Aug-10,32,5.6889877,Education and Health
Aug-10,32,-3.4612546,Leisure and Hospitality
Aug-10,32,-3.4989123,Other Services
Aug-10,32,0.19663925,Government
Sep-10,33,-5.8236356,Nonfarming
Sep-10,33,-2.2972972,Mining and Logging
Sep-10,33,-26.555407,Construction
Sep-10,33,-15.880983,Manufacturing
Sep-10,33,-7.5466046,"Trade, Transportation and Utilities"
Sep-10,33,-10.813492,Information
Sep-10,33,-7.2325525,Financial Activities
Sep-10,33,-6.9857626,Professional and Business
Sep-10,33,5.6253643,Education and Health
Sep-10,33,-3.0479705,Leisure and Hospitality
Sep-10,33,-3.3357506,Other Services
Sep-10,33,-0.57651055,Government
Oct-10,34,-5.6443801,Nonfarming
Oct-10,34,-1.2162162,Mining and Logging
Oct-10,34,-26.461948,Construction
Oct-10,34,-15.888258,Manufacturing
Oct-10,34,-7.370667,"Trade, Transportation and Utilities"
Oct-10,34,-10.87963,Information
Oct-10,34,-7.244627,Financial Activities
Oct-10,34,-6.6312118,Professional and Business
Oct-10,34,5.9487834,Education and Health
Oct-10,34,-3.1217713,Leisure and Hospitality
Oct-10,34,-2.8825235,Other Services
Oct-10,34,-0.35305685,Government
Nov-10,35,-5.556921,Nonfarming
Nov-10,35,-0.54054052,Mining and Logging
Nov-10,35,-26.488651,Construction
Nov-10,35,-15.720937,Manufacturing
Nov-10,35,-7.4268174,"Trade, Transportation and Utilities"
Nov-10,35,-11.111111,Information
Nov-10,35,-7.2808499,Financial Activities
Nov-10,35,-6.0883055,Professional and Business
Nov-10,35,6.1820688,Education and Health
Nov-10,35,-3.1291513,Leisure and Hospitality
Nov-10,35,-3.0819435,Other Services
Nov-10,35,-0.39774758,Government
Dec-10,36,-5.4925914,Nonfarming
Dec-10,36,-0.8108108,Mining and Logging
Dec-10,36,-27.009346,Construction
Dec-10,36,-15.648189,Manufacturing
Dec-10,36,-7.2957997,"Trade, Transportation and Utilities"
Dec-10,36,-11.342592,Information
Dec-10,36,-7.2325525,Financial Activities
Dec-10,36,-5.7115951,Professional and Business
Dec-10,36,6.2828059,Education and Health
Dec-10,36,-2.9003689,Leisure and Hospitality
Dec-10,36,-3.2451053,Other Services
Dec-10,36,-0.49159813,Government
Jan-11,37,-5.4383807,Nonfarming
Jan-11,37,-0.54054052,Mining and Logging
Jan-11,37,-27.476635,Construction
Jan-11,37,-15.480867,Manufacturing
Jan-11,37,-7.1385789,"Trade, Transportation and Utilities"
Jan-11,37,-11.309524,Information
Jan-11,37,-7.2687755,Financial Activities
Jan-11,37,-5.4955406,Professional and Business
Jan-11,37,6.3941464,Education and Health
Jan-11,37,-2.9225092,Leisure and Hospitality
Jan-11,37,-3.4263959,Other Services
Jan-11,37,-0.50053626,Government
Feb-11,38,-5.3176727,Nonfarming
Feb-11,38,-0.13513513,Mining and Logging
Feb-11,38,-27.129505,Construction
Feb-11,38,-15.226248,Manufacturing
Feb-11,38,-6.9102345,"Trade, Transportation and Utilities"
Feb-11,38,-11.474868,Information
Feb-11,38,-7.3170733,Financial Activities
Feb-11,38,-5.2628665,Professional and Business
Feb-11,38,6.4577699,Education and Health
Feb-11,38,-2.6420665,Leisure and Hospitality
Feb-11,38,-3.2451053,Other Services
Feb-11,38,-0.72845906,Government
Mar-11,39,-5.1687751,Nonfarming
Mar-11,39,1.8918918,Mining and Logging
Mar-11,39,-26.889185,Construction
Mar-11,39,-15.102575,Manufacturing
Mar-11,39,-6.7717299,"Trade, Transportation and Utilities"
Mar-11,39,-11.673281,Information
Mar-11,39,-7.2567015,Financial Activities
Mar-11,39,-4.808598,Professional and Business
Mar-11,39,6.5160913,Education and Health
Mar-11,39,-2.2656827,Leisure and Hospitality
Mar-11,39,-3.3357506,Other Services
Mar-11,39,-0.81337148,Government
Apr-11,40,-4.9367547,Nonfarming
Apr-11,40,3.6486487,Mining and Logging
Apr-11,40,-26.675568,Construction
Apr-11,40,-14.88433,Manufacturing
Apr-11,40,-6.4048815,"Trade, Transportation and Utilities"
Apr-11,40,-11.507936,Information
Apr-11,40,-7.2325525,Financial Activities
Apr-11,40,-4.4983659,Professional and Business
Apr-11,40,6.8236041,Education and Health
Apr-11,40,-1.9557196,Leisure and Hospitality
Apr-11,40,-3.1544597,Other Services
Apr-11,40,-0.85359311,Government
May-11,41,-4.8623056,Nonfarming
May-11,41,5,Mining and Logging
May-11,41,-26.355141,Construction
May-11,41,-14.797031,Manufacturing
May-11,41,-6.3412442,"Trade, Transportation and Utilities"
May-11,41,-11.474868,Information
May-11,41,-7.027288,Financial Activities
May-11,41,-4.2379923,Professional and Business
May-11,41,6.9243412,Education and Health
May-11,41,-1.8892989,Leisure and Hospitality
May-11,41,-3.0819435,Other Services
May-11,41,-1.1083304,Government
Jun-11,42,-4.7285872,Nonfarming
Jun-11,42,6.4864864,Mining and Logging
Jun-11,42,-26.208279,Construction
Jun-11,42,-14.709734,Manufacturing
Jun-11,42,-6.1203861,"Trade, Transportation and Utilities"
Jun-11,42,-11.243386,Information
Jun-11,42,-7.1601062,Financial Activities
Jun-11,42,-4.2269125,Professional and Business
Jun-11,42,7.1470227,Education and Health
Jun-11,42,-1.5424354,Leisure and Hospitality
Jun-11,42,-2.9731688,Other Services
Jun-11,42,-1.1127994,Government
Jul-11,43,-4.6440187,Nonfarming
Jul-11,43,8.1081085,Mining and Logging
Jul-11,43,-25.941256,Construction
Jul-11,43,-14.578787,Manufacturing
Jul-11,43,-5.9856257,"Trade, Transportation and Utilities"
Jul-11,43,-11.607142,Information
Jul-11,43,-7.0997343,Financial Activities
Jul-11,43,-4.0551772,Professional and Business
Jul-11,43,7.337893,Education and Health
Jul-11,43,-1.2767527,Leisure and Hospitality
Jul-11,43,-2.8462653,Other Services
Jul-11,43,-1.4390419,Government
Aug-11,44,-4.5514998,Nonfarming
Aug-11,44,8.7837839,Mining and Logging
Aug-11,44,-25.8745,Construction
Aug-11,44,-14.40419,Manufacturing
Aug-11,44,-5.9107585,"Trade, Transportation and Utilities"
Aug-11,44,-12.996032,Information
Aug-11,44,-7.0393624,Financial Activities
Aug-11,44,-3.7394049,Professional and Business
Aug-11,44,7.5181594,Education and Health
Aug-11,44,-1.1734318,Leisure and Hospitality
Aug-11,44,-2.5743291,Other Services
Aug-11,44,-1.4792635,Government
Sep-11,45,-4.3903146,Nonfarming
Sep-11,45,10,Mining and Logging
Sep-11,45,-25.393858,Construction
Sep-11,45,-14.367816,Manufacturing
Sep-11,45,-5.749794,"Trade, Transportation and Utilities"
Sep-11,45,-11.541005,Information
Sep-11,45,-7.027288,Financial Activities
Sep-11,45,-3.3571548,Professional and Business
Sep-11,45,7.7408409,Education and Health
Sep-11,45,-0.94464946,Leisure and Hospitality
Sep-11,45,-2.4474256,Other Services
Sep-11,45,-1.7652842,Government
Oct-11,46,-4.2580414,Nonfarming
Oct-11,46,10.675675,Mining and Logging
Oct-11,46,-25.433912,Construction
Oct-11,46,-14.331442,Manufacturing
Oct-11,46,-5.6711836,"Trade, Transportation and Utilities"
Oct-11,46,-11.441799,Information
Oct-11,46,-6.9427676,Financial Activities
Oct-11,46,-3.0635421,Professional and Business
Oct-11,46,7.9211068,Education and Health
Oct-11,46,-0.64944649,Leisure and Hospitality
Oct-11,46,-2.4292965,Other Services
Oct-11,46,-1.68931,Government
Nov-11,47,-4.1525116,Nonfarming
Nov-11,47,11.486486,Mining and Logging
Nov-11,47,-25.393858,Construction
Nov-11,47,-14.345991,Manufacturing
Nov-11,47,-5.5738564,"Trade, Transportation and Utilities"
Nov-11,47,-11.607142,Information
Nov-11,47,-6.773726,Financial Activities
Nov-11,47,-2.8364079,Professional and Business
Nov-11,47,8.1225805,Education and Health
Nov-11,47,-0.33210331,Leisure and Hospitality
Nov-11,47,-2.2480059,Other Services
Nov-11,47,-1.8144441,Government
Dec-11,48,-3.9891579,Nonfarming
Dec-11,48,12.432432,Mining and Logging
Dec-11,48,-25.073431,Construction
Dec-11,48,-14.164121,Manufacturing
Dec-11,48,-5.4241223,"Trade, Transportation and Utilities"
Dec-11,48,-11.342592,Information
Dec-11,48,-6.6409078,Financial Activities
Dec-11,48,-2.4984765,Professional and Business
Dec-11,48,8.2445259,Education and Health
Dec-11,48,-0.066420667,Leisure and Hospitality
Dec-11,48,-2.0485859,Other Services
Dec-11,48,-1.9038255,Government
Jan-12,49,-3.7144923,Nonfarming
Jan-12,49,13.648648,Mining and Logging
Jan-12,49,-24.846462,Construction
Jan-12,49,-13.909501,Manufacturing
Jan-12,49,-5.105937,"Trade, Transportation and Utilities"
Jan-12,49,-11.706349,Information
Jan-12,49,-6.6046848,Financial Activities
Jan-12,49,-1.9611102,Professional and Business
Jan-12,49,8.6421719,Education and Health
Jan-12,49,0.37638375,Leisure and Hospitality
Jan-12,49,-1.849166,Other Services
Jan-12,49,-1.9082946,Government
Feb-12,50,-3.5359595,Nonfarming
Feb-12,50,14.459459,Mining and Logging
Feb-12,50,-24.846462,Construction
Feb-12,50,-13.74218,Manufacturing
Feb-12,50,-5.0198398,"Trade, Transportation and Utilities"
Feb-12,50,-11.408731,Information
Feb-12,50,-6.50809,Financial Activities
Feb-12,50,-1.6120991,Professional and Business
Feb-12,50,9.0451193,Education and Health
Feb-12,50,0.67896676,Leisure and Hospitality
Feb-12,50,-1.849166,Other Services
Feb-12,50,-1.9172328,Government
Mar-12,51,-3.3798337,Nonfarming
Mar-12,51,14.72973,Mining and Logging
Mar-12,51,-24.859814,Construction
Mar-12,51,-13.436636,Manufacturing
Mar-12,51,-4.9225125,"Trade, Transportation and Utilities"
Mar-12,51,-11.474868,Information
Mar-12,51,-6.2183046,Financial Activities
Mar-12,51,-1.4625229,Professional and Business
Mar-12,51,9.2200842,Education and Health
Mar-12,51,1.1143911,Leisure and Hospitality
Mar-12,51,-1.7041334,Other Services
Mar-12,51,-1.9261709,Government
Apr-12,52,-3.3169498,Nonfarming
Apr-12,52,14.864865,Mining and Logging
Apr-12,52,-24.873165,Construction
Apr-12,52,-13.312963,Manufacturing
Apr-12,52,-4.8401589,"Trade, Transportation and Utilities"
Apr-12,52,-11.375662,Information
Apr-12,52,-6.1820817,Financial Activities
Apr-12,52,-1.1966096,Professional and Business
Apr-12,52,9.3155184,Education and Health
Apr-12,52,1.1439115,Leisure and Hospitality
Apr-12,52,-1.7947788,Other Services
Apr-12,52,-2.0289595,Government
May-12,53,-3.2352729,Nonfarming
May-12,53,15.405405,Mining and Logging
May-12,53,-25.126835,Construction
May-12,53,-13.211116,Manufacturing
May-12,53,-4.7166281,"Trade, Transportation and Utilities"
May-12,53,-11.276455,Information
May-12,53,-6.0613379,Financial Activities
May-12,53,-1.0414935,Professional and Business
May-12,53,9.5700121,Education and Health
May-12,53,1.1512915,Leisure and Hospitality
May-12,53,-1.7947788,Other Services
May-12,53,-2.0691812,Government
Jun-12,54,-3.2099748,Nonfarming
Jun-12,54,15.135135,Mining and Logging
Jun-12,54,-24.926569,Construction
Jun-12,54,-13.131093,Manufacturing
Jun-12,54,-4.761548,"Trade, Transportation and Utilities"
Jun-12,54,-11.574074,Information
Jun-12,54,-6.0492635,Financial Activities
Jun-12,54,-0.81435931,Professional and Business
Jun-12,54,9.5753145,Education and Health
